prakriti,ritu,goal,meal_slot,meal_id
Vata,Sharad,weightloss,dinner,V054
Vata,Sharad,weightgain,breakfast,V055
Vata,Sharad,weightgain,lunch,V056
Vata,Sharad,weightgain,dinner,V057
Vata,Sharad,immunity,breakfast,V058
Vata,Sharad,immunity,lunch,V059
Vata,Sharad,immunity,dinner,V060
Vata,Hemant,energy,breakfast,V061
Vata,Hemant,energy,lunch,V062
Vata,Hemant,energy,dinner,V063
Vata,Hemant,digestion,breakfast,V064
Vata,Hemant,digestion,lunch,V065
Vata,Hemant,digestion,dinner,V066
Vata,Hemant,weightloss,breakfast,V067
Vata,Hemant,weightloss,lunch,V068
Vata,Hemant,weightloss,dinner,V069
Vata,Hemant,weightgain,breakfast,V070
Vata,Hemant,weightgain,lunch,V071
Vata,Hemant,weightgain,dinner,V072
Vata,Hemant,immunity,breakfast,V073
Vata,Hemant,immunity,lunch,V074
Vata,Hemant,immunity,dinner,V075
Vata,Shishir,energy,breakfast,V076
Vata,Shishir,energy,lunch,V077
Vata,Shishir,energy,dinner,V078
Vata,Shishir,digestion,breakfast,V079
Vata,Shishir,digestion,lunch,V080
Vata,Shishir,digestion,dinner,V081
Vata,Shishir,weightloss,breakfast,V082
Vata,Shishir,weightloss,lunch,V083
Vata,Shishir,weightloss,dinner,V084
Vata,Shishir,weightgain,breakfast,V085
Vata,Shishir,weightgain,lunch,V086
Vata,Shishir,weightgain,dinner,V087
Vata,Shishir,immunity,breakfast,V088
Vata,Shishir,immunity,lunch,V089
Vata,Shishir,immunity,dinner,V090
Pitta,Vasant,energy,breakfast,P001
Pitta,Vasant,energy,lunch,P002
Pitta,Vasant,energy,dinner,P003
Pitta,Vasant,digestion,breakfast,P004
Pitta,Vasant,digestion,lunch,P005
Pitta,Vasant,digestion,dinner,P006
Pitta,Vasant,weightloss,breakfast,P007
Pitta,Vasant,weightloss,lunch,P008
Pitta,Vasant,weightloss,dinner,P009
Pitta,Vasant,weightgain,breakfast,P010
Pitta,Vasant,weightgain,lunch,P011
Pitta,Vasant,weightgain,dinner,P012
Pitta,Vasant,immunity,breakfast,P013
Pitta,Vasant,immunity,lunch,P014
Pitta,Vasant,immunity,dinner,P015
Pitta,Greeshma,energy,breakfast,P016
Pitta,Greeshma,energy,lunch,P017
Pitta,Greeshma,energy,dinner,P018
Pitta,Greeshma,digestion,breakfast,P019
Pitta,Greeshma,digestion,lunch,P020
Pitta,Greeshma,digestion,dinner,P021
Pitta,Greeshma,weightloss,breakfast,P022
Pitta,Greeshma,weightloss,lunch,P023
Pitta,Greeshma,weightloss,dinner,P024
Pitta,Greeshma,weightgain,breakfast,P025
Pitta,Greeshma,weightgain,lunch,P026
Pitta,Greeshma,weightgain,dinner,P027
Pitta,Greeshma,immunity,breakfast,P028
Pitta,Greeshma,immunity,lunch,P029
Pitta,Greeshma,immunity,dinner,P030
Pitta,Varsha,energy,breakfast,P031
Pitta,Varsha,energy,lunch,P032
Pitta,Varsha,energy,dinner,P033
Pitta,Varsha,digestion,breakfast,P034
Pitta,Varsha,digestion,lunch,P035
Pitta,Varsha,digestion,dinner,P036
Pitta,Varsha,weightloss,breakfast,P037
Pitta,Varsha,weightloss,lunch,P038
Pitta,Varsha,weightloss,dinner,P039
Pitta,Varsha,weightgain,breakfast,P040
Pitta,Varsha,weightgain,lunch,P041
Pitta,Varsha,weightgain,dinner,P042
Pitta,Varsha,immunity,breakfast,P043
Pitta,Varsha,immunity,lunch,P044
Pitta,Varsha,immunity,dinner,P045
Pitta,Sharad,energy,breakfast,P046
Pitta,Sharad,energy,lunch,P047
Pitta,Sharad,energy,dinner,P048
Pitta,Sharad,digestion,breakfast,P049
Pitta,Sharad,digestion,lunch,P050
Pitta,Sharad,digestion,dinner,P051
Pitta,Sharad,weightloss,breakfast,P052
Pitta,Sharad,weightloss,lunch,P053
Pitta,Sharad,weightloss,dinner,P054
Pitta,Sharad,weightgain,breakfast,P055
Pitta,Sharad,weightgain,lunch,P056
Pitta,Sharad,weightgain,dinner,P057
Pitta,Sharad,immunity,breakfast,P058
Pitta,Sharad,immunity,lunch,P059
Pitta,Sharad,immunity,dinner,P060
Pitta,Hemant,energy,breakfast,P061
Pitta,Hemant,energy,lunch,P062
Pitta,Hemant,energy,dinner,P063
Pitta,Hemant,digestion,breakfast,P064
Pitta,Hemant,digestion,lunch,P065
Pitta,Hemant,digestion,dinner,P066
Pitta,Hemant,weightloss,breakfast,P067
Pitta,Hemant,weightloss,lunch,P068
Pitta,Hemant,weightloss,dinner,P069
Pitta,Hemant,weightgain,breakfast,P070
Pitta,Hemant,weightgain,lunch,P071
Pitta,Hemant,weightgain,dinner,P072
Pitta,Hemant,immunity,breakfast,P073
Pitta,Hemant,immunity,lunch,P074
Pitta,Hemant,immunity,dinner,P075
Pitta,Shishir,energy,breakfast,P076
Pitta,Shishir,energy,lunch,P077
Pitta,Shishir,energy,dinner,P078
Pitta,Shishir,digestion,breakfast,P079
Pitta,Shishir,digestion,lunch,P080
Pitta,Shishir,digestion,dinner,P081
Pitta,Shishir,weightloss,breakfast,P082
Pitta,Shishir,weightloss,lunch,P083
Pitta,Shishir,weightloss,dinner,P084
Pitta,Shishir,weightgain,breakfast,P085
Pitta,Shishir,weightgain,lunch,P086
Pitta,Shishir,weightgain,dinner,P087
Pitta,Shishir,immunity,breakfast,P088
Pitta,Shishir,immunity,lunch,P089
Pitta,Shishir,immunity,dinner,P090
Kapha,Vasant,energy,breakfast,K001
Kapha,Vasant,energy,lunch,K002
Kapha,Vasant,energy,dinner,K003
Kapha,Vasant,digestion,breakfast,K004
Kapha,Vasant,digestion,lunch,K005
Kapha,Vasant,digestion,dinner,K006
Kapha,Vasant,weightloss,breakfast,K007
Kapha,Vasant,weightloss,lunch,K008
Kapha,Vasant,weightloss,dinner,K009
Kapha,Vasant,weightgain,breakfast,K010
Kapha,Vasant,weightgain,lunch,K011
Kapha,Vasant,weightgain,dinner,K012
Kapha,Vasant,immunity,breakfast,K013
Kapha,Vasant,immunity,lunch,K014
Kapha,Vasant,immunity,dinner,K015
Kapha,Greeshma,energy,breakfast,K016
Kapha,Greeshma,energy,lunch,K017
Kapha,Greeshma,energy,dinner,K018
Kapha,Greeshma,digestion,breakfast,K019
Kapha,Greeshma,digestion,lunch,K020
Kapha,Greeshma,digestion,dinner,K021
Kapha,Greeshma,weightloss,breakfast,K022
Kapha,Greeshma,weightloss,lunch,K023
Kapha,Greeshma,weightloss,dinner,K024
Kapha,Greeshma,weightgain,breakfast,K025
Kapha,Greeshma,weightgain,lunch,K026
Kapha,Greeshma,weightgain,dinner,K027
Kapha,Greeshma,immunity,breakfast,K028
Kapha,Greeshma,immunity,lunch,K029
Kapha,Greeshma,immunity,dinner,K030
Kapha,Varsha,energy,breakfast,K031
Kapha,Varsha,energy,lunch,K032
Kapha,Varsha,energy,dinner,K033
Kapha,Varsha,digestion,breakfast,K034
Kapha,Varsha,digestion,lunch,K035
Kapha,Varsha,digestion,dinner,K036
Kapha,Varsha,weightloss,breakfast,K037
Kapha,Varsha,weightloss,lunch,K038
Kapha,Varsha,weightloss,dinner,K039
Kapha,Varsha,weightgain,breakfast,K040
Kapha,Varsha,weightgain,lunch,K041
Kapha,Varsha,weightgain,dinner,K042
Kapha,Varsha,immunity,breakfast,K043
Kapha,Varsha,immunity,lunch,K044
Kapha,Varsha,immunity,dinner,K045
Kapha,Sharad,energy,breakfast,K046
Kapha,Sharad,energy,lunch,K047
Kapha,Sharad,energy,dinner,K048
Kapha,Sharad,digestion,breakfast,K049
Kapha,Sharad,digestion,lunch,K050
Kapha,Sharad,digestion,dinner,K051
Kapha,Sharad,weightloss,breakfast,K052
Kapha,Sharad,weightloss,lunch,K053
Kapha,Sharad,weightloss,dinner,K054
Kapha,Sharad,weightgain,breakfast,K055
Kapha,Sharad,weightgain,lunch,K056
Kapha,Sharad,weightgain,dinner,K057
Kapha,Sharad,immunity,breakfast,K058
Kapha,Sharad,immunity,lunch,K059
Kapha,Sharad,immunity,dinner,K060
Kapha,Hemant,energy,breakfast,K061
Kapha,Hemant,energy,lunch,K062
Kapha,Hemant,energy,dinner,K063
Kapha,Hemant,digestion,breakfast,K064
Kapha,Hemant,digestion,lunch,K065
Kapha,Hemant,digestion,dinner,K066
Kapha,Hemant,weightloss,breakfast,K067
Kapha,Hemant,weightloss,lunch,K068
Kapha,Hemant,weightloss,dinner,K069
Kapha,Hemant,weightgain,breakfast,K070
Kapha,Hemant,weightgain,lunch,K071
Kapha,Hemant,weightgain,dinner,K072
Kapha,Hemant,immunity,breakfast,K073
Kapha,Hemant,immunity,lunch,K074
Kapha,Hemant,immunity,dinner,K075
Kapha,Shishir,energy,breakfast,K076
Kapha,Shishir,energy,lunch,K077
Kapha,Shishir,energy,dinner,K078
Kapha,Shishir,digestion,breakfast,K079
Kapha,Shishir,digestion,lunch,K080
Kapha,Shishir,digestion,dinner,K081
Kapha,Shishir,weightloss,breakfast,K082
Kapha,Shishir,weightloss,lunch,K083
Kapha,Shishir,weightloss,dinner,K084
Kapha,Shishir,weightgain,breakfast,K085
Kapha,Shishir,weightgain,lunch,K086
Kapha,Shishir,weightgain,dinner,K087
Kapha,Shishir,immunity,breakfast,K088
Kapha,Shishir,immunity,lunch,K089
Kapha,Shishir,immunity,dinner,K090
