prakriti,ritu,goal,meal_slot,meal_id
Kapha,Vasant,weightgain,dinner,V103
Kapha,Vasant,immunity,breakfast,V119
Kapha,Vasant,immunity,lunch,V046
Kapha,Vasant,immunity,dinner,V095
Kapha,Greeshma,energy,breakfast,V115
Kapha,Greeshma,energy,lunch,V044
Kapha,Greeshma,energy,dinner,V097
Kapha,Greeshma,digestion,breakfast,V116
Kapha,Greeshma,digestion,lunch,V151
Kapha,Greeshma,digestion,dinner,V089
Kapha,Greeshma,weightloss,breakfast,V113
Kapha,Greeshma,weightloss,lunch,V056
Kapha,Greeshma,weightloss,dinner,V130
Kapha,Greeshma,weightgain,breakfast,V121
Kapha,Greeshma,weightgain,lunch,V044
Kapha,Greeshma,weightgain,dinner,V105
Kapha,Greeshma,immunity,breakfast,V119
Kapha,Greeshma,immunity,lunch,V152
Kapha,Greeshma,immunity,dinner,V070
Kapha,Varsha,energy,breakfast,V115
Kapha,Varsha,energy,lunch,V054
Kapha,Varsha,energy,dinner,V082
Kapha,Varsha,digestion,breakfast,V024
Kapha,Varsha,digestion,lunch,V165
Kapha,Varsha,digestion,dinner,V090
Kapha,Varsha,weightloss,breakfast,V124
Kapha,Varsha,weightloss,lunch,V158
Kapha,Varsha,weightloss,dinner,V080
Kapha,Varsha,weightgain,breakfast,V109
Kapha,Varsha,weightgain,lunch,V035
Kapha,Varsha,weightgain,dinner,V083
Kapha,Varsha,immunity,breakfast,V123
Kapha,Varsha,immunity,lunch,V164
Kapha,Varsha,immunity,dinner,V136
Kapha,Sharad,energy,breakfast,V008
Kapha,Sharad,energy,lunch,V059
Kapha,Sharad,energy,dinner,V097
Kapha,Sharad,digestion,breakfast,V015
Kapha,Sharad,digestion,lunch,V031
Kapha,Sharad,digestion,dinner,V135
Kapha,Sharad,weightloss,breakfast,V111
Kapha,Sharad,weightloss,lunch,V149
Kapha,Sharad,weightloss,dinner,V105
Kapha,Sharad,weightgain,breakfast,V094
Kapha,Sharad,weightgain,lunch,V156
Kapha,Sharad,weightgain,dinner,V076
Kapha,Sharad,immunity,breakfast,V005
Kapha,Sharad,immunity,lunch,V065
Kapha,Sharad,immunity,dinner,V095
Kapha,Hemant,energy,breakfast,V001
Kapha,Hemant,energy,lunch,V055
Kapha,Hemant,energy,dinner,V082
Kapha,Hemant,digestion,breakfast,V120
Kapha,Hemant,digestion,lunch,V034
Kapha,Hemant,digestion,dinner,V135
Kapha,Hemant,weightloss,breakfast,V111
Kapha,Hemant,weightloss,lunch,V051
Kapha,Hemant,weightloss,dinner,V134
Kapha,Hemant,weightgain,breakfast,V125
Kapha,Hemant,weightgain,lunch,V030
Kapha,Hemant,weightgain,dinner,V146
Kapha,Hemant,immunity,breakfast,V005
Kapha,Hemant,immunity,lunch,V045
Kapha,Hemant,immunity,dinner,V095
Kapha,Shishir,energy,breakfast,V011
Kapha,Shishir,energy,lunch,V047
Kapha,Shishir,energy,dinner,V106
Kapha,Shishir,digestion,breakfast,V015
Kapha,Shishir,digestion,lunch,V034
Kapha,Shishir,digestion,dinner,V142
Kapha,Shishir,weightloss,breakfast,V123
Kapha,Shishir,weightloss,lunch,V051
Kapha,Shishir,weightloss,dinner,V141
Kapha,Shishir,weightgain,breakfast,V125
Kapha,Shishir,weightgain,lunch,V035
Kapha,Shishir,weightgain,dinner,V076
Kapha,Shishir,immunity,breakfast,V109
Kapha,Shishir,immunity,lunch,V138
Kapha,Shishir,immunity,dinner,V136
